temperature,vibration,voltage,current,pressure,rpm,load,power,runtime_hours,maintenance_gap_hours,efficiency,thermal_fluctuation,vibration_instability,machine_type,failure_type,state,is_anomaly,degradation_progress,timestamp
54.42,2.079,397.1,49.57,6.52,3298.0,56.8,19.6,3199.0,224.0,88.5,0.404,0.215,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:02:39
54.54,1.832,402.4,49.67,5.6,3247.0,53.2,20.02,7842.0,251.0,94.2,2.162,0.037,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:04:04
50.85,1.727,399.8,50.0,5.94,3251.0,58.0,20.71,1619.0,30.0,93.0,0.795,0.238,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:06:29
52.44,1.835,400.1,47.43,6.5,3130.0,54.6,18.92,746.0,438.0,93.7,0.931,0.221,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:08:37
48.2,2.124,404.9,50.0,6.5,3230.0,61.0,21.01,4142.0,271.0,92.6,0.192,0.287,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:10:55
51.55,1.659,398.0,42.86,5.94,3214.0,51.7,17.15,7135.0,301.0,94.1,0.98,0.262,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:12:27
53.77,1.814,397.4,50.0,6.4,3186.0,54.0,20.53,2913.0,493.0,95.8,2.098,0.169,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:14:14
51.58,1.743,398.4,46.9,6.39,3239.0,56.3,18.98,7861.0,65.0,92.8,0.127,0.071,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:16:06
51.0,2.023,395.0,50.0,6.11,3303.0,60.2,21.68,2657.0,218.0,93.1,2.441,0.014,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:18:07
50.18,2.254,395.2,49.35,5.98,3245.0,53.3,19.52,1162.0,41.0,90.8,1.14,0.332,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:20:33
50.17,1.822,401.1,40.9,6.17,3275.0,54.8,16.48,4638.0,422.0,91.7,0.506,0.124,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:22:42
53.66,1.558,401.1,49.82,6.53,3331.0,58.2,20.01,6551.0,225.0,90.6,3.345,0.315,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:24:16
51.83,1.494,400.7,46.85,5.63,3264.0,52.4,18.68,1200.0,399.0,94.3,0.949,0.681,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:26:09
49.98,2.035,401.2,45.25,6.27,3167.0,50.8,18.2,6588.0,64.0,94.6,0.667,0.128,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:28:25
54.83,2.071,397.7,44.9,5.44,3211.0,49.0,18.01,3750.0,474.0,95.0,0.42,0.338,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:30:52
55.91,1.878,401.3,47.5,5.78,3270.0,54.2,19.03,4893.0,218.0,92.4,0.15,0.027,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:32:00
55.02,2.14,399.5,50.0,6.0,3213.0,60.2,21.14,4345.0,461.0,88.7,1.935,0.389,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:34:55
49.38,1.757,396.0,40.38,5.84,3155.0,46.1,15.9,2963.0,294.0,90.0,0.775,0.24,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:36:03
53.11,1.844,400.6,50.0,5.96,3243.0,54.4,21.85,389.0,241.0,90.9,1.069,0.032,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:38:59
47.56,1.675,400.6,40.7,6.07,3184.0,54.8,16.27,7574.0,193.0,93.7,1.99,0.109,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:40:01
55.47,1.722,398.4,50.0,5.89,3317.0,58.4,21.55,886.0,129.0,93.4,1.066,0.133,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:42:11
50.91,1.615,405.3,45.27,5.94,3212.0,56.1,18.5,3100.0,299.0,93.5,2.12,0.374,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:44:15
51.87,1.862,399.9,44.81,6.04,3175.0,50.2,17.79,3459.0,21.0,92.3,0.462,0.513,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:46:22
49.32,1.554,401.7,43.01,6.21,3204.0,49.9,17.03,6655.0,111.0,95.2,2.356,0.301,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:48:26
49.33,1.85,401.6,42.11,6.18,3210.0,54.3,17.0,2038.0,201.0,90.5,1.385,0.406,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:50:34
55.93,1.84,400.5,41.39,5.62,3208.0,52.4,16.5,506.0,253.0,88.6,1.481,0.106,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:52:49
56.15,2.155,402.1,49.98,6.42,3243.0,57.7,20.16,2250.0,299.0,93.9,1.091,0.074,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:54:39
53.99,1.91,401.9,42.39,6.28,3195.0,48.9,16.88,6809.0,132.0,88.9,0.087,0.246,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:56:08
54.33,1.971,400.1,46.25,6.47,3259.0,56.3,18.5,392.0,302.0,91.0,0.652,0.093,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:58:42
52.11,1.904,394.2,50.0,6.43,3244.0,53.9,20.25,5045.0,444.0,89.3,0.878,0.214,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:00:53
54.77,1.756,398.7,43.84,6.5,3324.0,50.9,17.3,1986.0,64.0,91.0,2.017,0.276,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:02:01
49.84,1.812,397.5,44.48,5.9,3267.0,53.4,17.41,1420.0,496.0,94.3,2.432,0.471,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:04:51
51.45,2.077,404.3,49.23,6.03,3256.0,59.2,19.97,6545.0,120.0,92.9,0.304,0.455,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:06:19
51.32,1.882,403.3,43.6,6.03,3230.0,50.1,17.68,3327.0,193.0,93.8,1.426,0.252,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:08:21
53.05,2.079,407.6,49.26,6.13,3288.0,59.3,20.14,5456.0,287.0,94.1,0.876,0.108,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:10:12
53.2,1.914,402.6,48.02,6.57,3270.0,53.6,19.21,6046.0,88.0,91.3,1.25,0.207,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:12:30
54.76,1.834,395.9,46.69,6.27,3233.0,52.5,18.4,6261.0,62.0,96.3,0.374,0.473,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:14:56
52.58,1.854,398.8,46.29,6.28,3294.0,57.6,18.5,4699.0,179.0,91.0,0.192,0.11,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:16:31
52.58,2.126,395.7,50.0,6.25,3212.0,54.1,20.63,5580.0,118.0,91.0,0.366,0.169,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:18:46
51.56,1.623,405.0,41.22,5.96,3238.0,50.7,16.58,1917.0,114.0,92.1,0.344,0.285,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:20:26
53.38,1.918,401.9,48.97,6.2,3274.0,54.7,19.52,6393.0,246.0,93.4,1.015,0.54,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:22:29
49.37,1.78,403.0,49.35,6.2,3295.0,57.0,19.92,672.0,202.0,96.9,0.744,0.307,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:24:27
51.56,1.608,404.5,39.77,5.88,3184.0,48.3,15.98,2679.0,264.0,92.1,0.371,0.205,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:26:32
52.64,2.006,401.9,46.06,6.03,3198.0,55.4,18.57,926.0,322.0,95.6,0.537,0.118,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:28:21
51.41,1.861,406.2,48.08,6.61,3293.0,52.9,19.62,745.0,40.0,92.4,0.977,0.145,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:30:30
53.02,2.231,399.7,41.1,6.19,3244.0,48.7,16.54,7971.0,488.0,89.7,0.846,0.151,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:32:09
49.11,1.967,398.6,49.34,5.83,3282.0,56.5,19.48,7902.0,30.0,89.1,0.337,0.314,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:34:04
49.7,1.989,400.5,50.0,5.81,3232.0,56.3,21.73,5089.0,369.0,92.8,1.028,0.097,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:36:13
51.74,1.42,403.4,48.08,6.02,3280.0,54.3,19.61,7758.0,136.0,89.8,1.942,0.348,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:38:26
47.43,1.718,403.7,39.44,5.46,3174.0,46.0,15.84,5684.0,92.0,93.7,1.834,0.364,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:40:36
52.76,1.777,399.8,46.89,6.24,3193.0,50.6,18.75,411.0,70.0,92.1,1.099,0.024,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:42:08
52.86,1.858,403.3,49.09,7.1,3292.0,57.3,20.05,5368.0,78.0,90.1,0.966,0.083,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:44:56
52.75,1.924,400.5,47.29,6.86,3287.0,54.6,18.89,6964.0,290.0,91.9,1.658,0.356,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:46:23
51.36,2.016,399.2,50.0,6.61,3273.0,56.0,21.44,5934.0,440.0,88.6,1.401,0.314,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:48:02
54.87,1.844,399.5,45.07,5.74,3215.0,52.3,18.0,3230.0,351.0,89.1,1.487,0.646,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:50:58
52.63,2.023,404.6,45.69,5.96,3218.0,55.5,18.76,6920.0,264.0,91.1,0.03,0.347,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:52:48
57.37,1.917,401.8,49.14,6.32,3298.0,53.0,19.64,2024.0,464.0,92.6,1.131,0.084,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:54:41
53.93,1.543,401.2,43.91,6.32,3196.0,52.8,17.43,2254.0,213.0,91.7,0.239,0.291,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:56:07
52.96,1.93,399.9,47.46,6.25,3178.0,56.0,18.91,443.0,320.0,94.7,0.183,0.163,CNC_MILL,none,healthy,0,0.0,2026-04-01 02:58:20
53.1,1.974,399.1,44.91,6.23,3137.0,50.2,17.96,1971.0,392.0,93.6,0.841,0.546,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:00:20
56.48,1.9,401.9,45.74,6.09,3189.0,55.0,18.33,287.0,325.0,91.7,1.446,0.663,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:02:10
53.24,2.011,397.7,50.0,5.84,3332.0,63.8,20.16,5769.0,349.0,92.6,0.801,0.487,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:04:14
50.52,1.711,400.1,49.49,6.33,3252.0,58.8,19.89,7053.0,329.0,88.9,2.991,0.112,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:06:19
52.89,1.932,398.0,50.0,6.52,3391.0,60.9,23.69,4333.0,57.0,95.2,0.46,0.394,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:08:43
50.9,1.79,407.0,38.13,5.97,3233.0,47.1,15.47,1109.0,415.0,91.4,1.062,0.287,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:10:03
50.6,1.843,402.1,43.35,5.6,3215.0,52.8,17.53,3633.0,304.0,93.7,0.047,0.075,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:12:58
51.94,1.772,400.8,45.24,5.84,3260.0,51.5,18.09,739.0,207.0,94.0,0.805,0.27,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:14:42
52.3,2.264,399.1,50.0,6.42,3294.0,58.8,20.77,4070.0,205.0,91.3,1.488,0.152,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:16:35
48.62,1.854,396.4,50.0,6.67,3220.0,57.0,20.01,1301.0,40.0,94.4,0.32,0.447,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:18:23
51.55,1.898,398.1,47.12,5.93,3212.0,54.9,18.76,7974.0,409.0,88.9,1.369,0.15,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:20:44
52.26,1.679,401.6,50.0,6.24,3274.0,63.8,20.6,252.0,137.0,86.8,0.819,0.118,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:22:31
48.16,1.632,399.9,44.95,5.77,3313.0,51.0,17.84,3861.0,194.0,90.3,3.415,0.085,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:24:59
54.27,2.121,402.0,45.4,6.78,3212.0,54.4,18.31,5309.0,449.0,90.8,1.953,0.468,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:26:07
52.45,1.8,400.3,46.77,5.96,3317.0,53.2,18.69,669.0,45.0,90.4,1.948,0.294,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:28:42
52.58,1.872,403.0,37.88,5.47,3227.0,46.7,15.36,1725.0,69.0,95.0,1.992,0.167,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:30:59
54.9,1.91,401.8,43.21,6.1,3288.0,49.8,17.47,2772.0,465.0,90.8,1.922,0.521,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:32:25
51.1,1.882,402.6,39.56,5.84,3180.0,46.3,16.0,6065.0,236.0,92.6,0.736,0.22,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:34:24
52.57,1.759,399.7,43.07,6.1,3178.0,47.5,17.12,1787.0,258.0,93.0,1.085,0.69,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:36:21
49.27,1.944,403.9,50.0,6.2,3314.0,58.0,20.95,174.0,131.0,89.6,0.314,0.255,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:38:45
53.24,1.74,396.7,41.97,6.48,3288.0,51.6,16.61,141.0,383.0,89.1,1.659,0.136,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:40:22
51.55,1.934,395.7,47.53,5.53,3206.0,49.5,19.02,6374.0,56.0,94.5,0.828,0.767,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:42:49
55.72,2.066,402.9,43.17,6.31,3313.0,51.9,17.47,6618.0,254.0,94.2,0.974,0.284,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:44:18
51.84,1.591,399.8,46.26,6.65,3227.0,56.6,18.51,7987.0,467.0,93.3,1.536,0.556,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:46:51
54.41,1.987,394.2,45.25,6.12,3191.0,50.6,17.99,2962.0,174.0,90.9,1.157,0.569,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:48:48
49.01,1.762,396.5,45.46,6.11,3263.0,53.9,18.37,3551.0,367.0,95.5,0.903,0.141,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:50:25
52.84,1.69,397.3,45.58,6.03,3238.0,53.4,18.07,2071.0,143.0,91.4,2.352,0.158,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:52:20
53.67,1.83,400.2,42.83,5.73,3301.0,56.6,17.08,5873.0,491.0,90.9,1.191,0.376,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:54:48
53.18,1.735,399.1,50.0,5.99,3267.0,55.2,21.97,2083.0,427.0,94.0,3.995,0.089,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:56:59
52.08,1.375,401.3,42.82,5.33,3158.0,51.2,17.08,5243.0,277.0,90.0,0.031,0.218,CNC_MILL,none,healthy,0,0.0,2026-04-01 03:58:26
50.64,1.682,398.5,43.18,5.74,3220.0,48.9,17.07,4203.0,110.0,91.3,0.767,0.095,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:00:19
52.09,2.285,400.9,46.13,5.89,3196.0,50.5,18.58,6227.0,483.0,94.3,0.17,0.431,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:02:51
55.58,2.027,399.4,50.0,6.35,3326.0,60.4,22.78,5598.0,399.0,93.7,0.642,0.08,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:04:15
51.59,1.928,406.2,47.01,6.19,3210.0,56.0,19.22,7740.0,215.0,94.8,1.594,0.128,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:06:33
51.89,2.052,400.7,41.47,6.13,3172.0,48.5,16.71,6880.0,411.0,95.6,0.526,0.091,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:08:01
49.96,1.744,397.0,34.84,6.11,3219.0,45.2,13.89,895.0,128.0,93.1,0.588,0.277,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:10:33
49.99,1.878,403.7,50.0,6.3,3345.0,58.6,22.0,1097.0,341.0,94.4,1.682,0.121,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:12:25
49.74,2.121,397.0,48.68,6.24,3233.0,52.8,19.41,6983.0,385.0,92.4,0.952,0.333,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:14:04
51.06,1.655,393.2,50.0,6.64,3306.0,60.2,21.86,3105.0,489.0,91.6,1.414,0.067,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:16:55
51.83,1.923,397.2,48.26,5.92,3264.0,52.8,19.04,6995.0,65.0,93.6,0.551,0.551,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:18:37
48.87,1.978,397.4,45.02,6.33,3257.0,51.9,17.84,4786.0,447.0,93.5,0.974,0.025,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:20:34
54.62,1.873,402.9,46.79,6.16,3187.0,53.5,18.79,4188.0,221.0,94.0,0.981,0.549,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:22:03
56.53,2.019,405.2,46.34,6.33,3176.0,53.3,18.9,4148.0,61.0,91.5,3.604,0.127,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:24:31
55.63,1.86,397.8,46.2,5.9,3196.0,52.8,18.54,1206.0,146.0,91.9,2.109,0.025,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:26:02
51.4,1.957,398.3,41.98,6.8,3196.0,49.5,16.66,2419.0,467.0,90.4,0.291,0.266,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:28:15
53.09,1.893,397.9,50.0,5.74,3386.0,59.4,22.08,7270.0,360.0,88.8,2.372,0.269,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:30:29
50.56,1.691,393.4,43.94,5.95,3232.0,51.5,17.39,3410.0,378.0,93.0,0.252,0.368,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:32:00
52.96,1.963,402.9,50.0,6.17,3349.0,61.8,21.52,7229.0,43.0,92.7,1.716,0.033,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:34:23
57.23,1.509,402.2,42.36,6.39,3178.0,50.2,16.93,6780.0,349.0,95.7,1.118,0.283,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:36:42
51.6,1.811,399.6,45.11,6.16,3190.0,47.4,17.93,3032.0,305.0,88.5,1.549,0.338,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:38:37
50.34,1.887,399.5,46.34,6.58,3249.0,57.4,18.68,667.0,211.0,94.2,1.775,0.489,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:40:18
53.6,2.005,398.6,50.0,6.56,3286.0,63.1,22.06,3135.0,29.0,92.0,0.133,0.111,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:42:31
51.99,1.872,402.7,44.93,5.65,3243.0,53.3,18.28,2789.0,275.0,92.4,1.77,0.472,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:44:32
50.64,1.728,399.5,40.68,5.46,3179.0,51.9,16.31,4686.0,78.0,93.5,3.111,0.276,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:46:18
56.65,1.8,396.2,50.0,6.02,3316.0,56.2,20.67,4390.0,122.0,92.5,2.654,0.109,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:48:25
51.54,1.813,403.4,46.35,5.52,3234.0,51.6,18.7,2358.0,110.0,94.5,0.893,0.412,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:50:06
55.34,2.001,404.5,50.0,6.32,3306.0,62.8,21.65,7155.0,41.0,91.7,1.505,0.7,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:52:16
51.51,1.981,397.7,47.26,5.82,3291.0,53.6,18.74,6455.0,147.0,89.2,1.43,0.154,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:54:32
53.9,2.021,403.5,50.0,6.46,3274.0,60.8,22.14,4947.0,53.0,90.4,0.036,0.492,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:56:02
51.35,1.852,400.0,43.09,6.25,3123.0,51.9,17.33,497.0,46.0,93.9,2.411,0.229,CNC_MILL,none,healthy,0,0.0,2026-04-01 04:58:02
52.47,1.888,401.9,50.0,6.32,3350.0,62.0,20.92,5160.0,490.0,88.7,1.805,0.256,CNC_MILL,none,healthy,0,0.0,2026-04-01 05:00:11
51.89,2.02,400.6,38.29,6.34,3320.0,53.2,15.4,6598.0,404.0,90.1,1.59,0.828,CNC_MILL,none,healthy,0,0.0,2026-04-01 05:02:58
49.06,1.918,397.2,50.0,6.19,3258.0,56.2,20.68,2282.0,356.0,90.3,1.688,0.082,CNC_MILL,none,healthy,0,0.0,2026-04-01 05:04:13
54.19,1.905,402.6,48.2,6.33,3281.0,57.0,19.42,805.0,347.0,91.8,3.658,0.04,CNC_MILL,none,healthy,0,0.0,2026-04-01 05:06:27
52.45,1.677,403.2,44.18,6.01,3235.0,53.3,17.79,5189.0,34.0,92.8,0.187,0.85,CNC_MILL,none,healthy,0,0.0,2026-04-01 05:08:04
49.91,1.845,398.6,48.23,6.28,3234.0,56.2,19.05,1775.0,332.0,92.6,1.559,0.023,CNC_MILL,none,healthy,0,0.0,2026-04-01 05:10:36
51.95,2.123,402.4,50.0,5.96,3296.0,62.2,23.77,3222.0,359.0,92.4,0.222,0.264,CNC_MILL,none,healthy,0,0.0,2026-04-01 05:12:05
50.19,1.748,399.3,45.68,5.3,3259.0,52.3,18.36,4294.0,302.0,91.6,0.029,0.079,CNC_MILL,none,healthy,0,0.0,2026-04-01 05:14:10
54.97,1.927,404.6,50.0,6.36,3260.0,60.1,21.28,2198.0,19.0,94.0,1.113,0.648,CNC_MILL,none,healthy,0,0.0,2026-04-01 05:16:04
